id,price,size,lot,bath,bed,bathbed,year,age,agesq,garage,status,active,elem,edison,harris,adams,crest,parker
1,388.00,2.180,4,3.0,4,12.0,1940,-3.0,9.00,0,3,0,edison,1,0,0,0,0
2,450.00,2.054,5,3.0,4,12.0,1957,-1.3,1.69,2,3,0,edison,1,0,0,0,0
3,386.00,2.112,5,2.0,4,8.0,1955,-1.5,2.25,2,3,0,edison,1,0,0,0,0
4,350.00,1.442,6,1.0,2,2.0,1956,-1.4,1.96,1,1,1,adams,0,0,1,0,0
5,155.50,1.800,1,2.0,4,8.0,1994,2.4,5.76,1,3,0,adams,0,0,1,0,0
6,220.00,1.965,5,2.0,3,6.0,1940,-3.0,9.00,1,3,0,adams,0,0,1,0,0
7,239.50,1.800,4,1.1,4,4.4,1958,-1.2,1.44,1,1,1,parker,0,0,0,0,1
8,207.00,2.254,4,2.0,4,8.0,1961,-0.9,0.81,2,3,0,parker,0,0,0,0,1
9,269.90,1.922,4,2.1,4,8.4,1965,-0.5,0.25,2,1,1,parker,0,0,0,0,1
10,238.80,1.920,5,2.1,3,6.3,1968,-0.2,0.04,2,3,0,parker,0,0,0,0,1
11,359.90,2.200,5,2.0,3,6.0,1970,0.0,0.00,2,1,1,edge,0,0,0,0,0
12,249.70,1.868,4,2.0,4,8.0,1965,-0.5,0.25,2,3,0,edge,0,0,0,0,0
13,265.00,1.875,4,2.1,3,6.3,1979,0.9,0.81,2,3,0,edge,0,0,0,0,0
14,349.00,2.000,5,2.0,3,6.0,1997,2.7,7.29,2,2,0,edge,0,0,0,0,0
15,319.00,1.855,4,2.0,4,8.0,1925,-4.5,20.25,2,3,0,harris,0,1,0,0,0
16,339.00,1.928,5,3.0,3,9.0,1972,0.2,0.04,2,1,1,edge,0,0,0,0,0
17,283.00,1.980,4,3.0,4,12.0,1971,0.1,0.01,2,1,1,edge,0,0,0,0,0
18,275.00,1.528,3,2.1,3,6.3,1975,0.5,0.25,2,1,1,edge,0,0,0,0,0
19,299.90,1.882,3,2.1,3,6.3,1976,0.6,0.36,2,1,1,edge,0,0,0,0,0
20,277.00,1.440,3,2.0,3,6.0,1948,-2.2,4.84,2,1,1,edison,1,0,0,0,0
21,299.00,1.994,8,3.0,2,6.0,2005,3.5,12.25,3,2,0,parker,0,0,0,0,1
22,185.00,1.860,4,2.0,5,10.0,1953,-1.7,2.89,0,3,0,parker,0,0,0,0,1
23,232.00,2.031,4,2.0,4,8.0,1950,-2.0,4.00,0,3,0,parker,0,0,0,0,1
24,214.90,1.868,5,2.0,4,8.0,1966,-0.4,0.16,2,3,0,edge,0,0,0,0,0
25,195.00,2.112,4,2.0,3,6.0,1966,-0.4,0.16,2,3,0,edge,0,0,0,0,0
26,256.00,1.974,4,2.0,3,6.0,1961,-0.9,0.81,2,3,0,harris,0,1,0,0,0
27,269.70,2.100,4,2.0,4,8.0,1969,-0.1,0.01,2,1,1,parker,0,0,0,0,1
28,330.00,1.894,2,2.0,3,6.0,1950,-2.0,4.00,1,3,0,edison,1,0,0,0,0
29,249.90,1.804,5,2.0,3,6.0,1960,-1.0,1.00,2,2,0,edge,0,0,0,0,0
30,279.90,2.010,5,2.0,3,6.0,1969,-0.1,0.01,2,2,0,edison,1,0,0,0,0
31,325.00,1.661,4,1.1,3,3.3,1974,0.4,0.16,2,1,1,crest,0,0,0,1,0
32,259.90,1.708,4,2.0,4,8.0,1937,-3.3,10.89,0,1,1,crest,0,0,0,1,0
33,324.50,1.800,2,2.1,3,6.3,2000,3.0,9.00,1,2,0,harris,0,1,0,0,0
34,359.90,1.968,3,3.0,3,9.0,1980,1.0,1.00,2,1,1,harris,0,1,0,0,0
35,252.50,1.888,2,2.0,6,12.0,1920,-5.0,25.00,0,3,0,edison,1,0,0,0,0
36,269.00,1.800,3,3.0,5,15.0,1947,-2.3,5.29,0,3,0,edge,0,0,0,0,0
37,235.00,1.712,5,1.0,3,3.0,1948,-2.2,4.84,1,3,0,edison,1,0,0,0,0
38,256.50,2.200,4,2.1,3,6.3,1966,-0.4,0.16,2,3,0,edge,0,0,0,0,0
39,319.90,1.920,7,2.1,3,6.3,2004,3.4,11.56,2,1,1,parker,0,0,0,0,1
40,355.00,2.129,5,2.0,3,6.0,2003,3.3,10.89,2,2,0,parker,0,0,0,0,1
41,285.00,2.235,7,3.1,4,12.4,1975,0.5,0.25,2,1,1,crest,0,0,0,1,0
42,242.00,2.279,5,2.1,4,8.4,1949,-2.1,4.41,1,3,0,parker,0,0,0,0,1
43,197.00,1.850,3,2.0,4,8.0,1964,-0.6,0.36,1,3,0,edge,0,0,0,0,0
44,281.80,1.886,4,2.0,3,6.0,2005,3.5,12.25,2,3,0,edison,1,0,0,0,0
45,259.00,2.080,2,2.0,4,8.0,1969,-0.1,0.01,2,2,0,edge,0,0,0,0,0
46,189.50,1.906,3,2.1,3,6.3,1975,0.5,0.25,0,3,0,edge,0,0,0,0,0
47,339.90,2.048,5,2.0,2,4.0,1993,2.3,5.29,3,2,0,edge,0,0,0,0,0
48,297.00,2.106,4,2.1,3,6.3,1995,2.5,6.25,2,3,0,edge,0,0,0,0,0
49,295.00,2.028,4,3.0,5,15.0,1992,2.2,4.84,2,3,0,edge,0,0,0,0,0
50,222.50,1.794,4,2.0,3,6.0,1960,-1.0,1.00,0,3,0,crest,0,0,0,1,0
51,199.00,2.016,3,2.0,5,10.0,1963,-0.7,0.49,1,2,0,edge,0,0,0,0,0
52,385.50,1.904,4,1.1,3,3.3,1919,-5.1,26.01,1,3,0,edison,1,0,0,0,0
53,230.00,2.234,3,3.0,4,12.0,1972,0.2,0.04,2,3,0,edge,0,0,0,0,0
54,285.00,2.269,3,3.1,4,12.4,1905,-6.5,42.25,0,3,0,edison,1,0,0,0,0
55,243.00,1.810,4,3.0,3,9.0,1961,-0.9,0.81,2,3,0,edge,0,0,0,0,0
56,217.00,1.875,4,2.0,3,6.0,1961,-0.9,0.81,0,3,0,edge,0,0,0,0,0
57,259.90,1.683,5,2.1,3,6.3,1979,0.9,0.81,1,1,1,harris,0,1,0,0,0
58,349.50,2.080,4,2.1,3,6.3,2005,3.5,12.25,2,1,1,harris,0,1,0,0,0
59,345.00,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,1,1,harris,0,1,0,0,0
60,336.00,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,2,0,harris,0,1,0,0,0
61,333.75,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,1,1,harris,0,1,0,0,0
62,340.00,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,3,0,harris,0,1,0,0,0
63,345.00,2.126,1,3.1,3,9.3,2005,3.5,12.25,2,3,0,harris,0,1,0,0,0
64,374.50,1.712,5,1.1,3,3.3,1908,-6.2,38.44,2,2,0,edison,1,0,0,0,0
65,236.50,1.950,4,3.0,4,12.0,1966,-0.4,0.16,2,2,0,edge,0,0,0,0,0
66,350.00,2.020,7,2.0,3,6.0,1976,0.6,0.36,2,2,0,harris,0,1,0,0,0
67,270.00,2.053,3,2.1,3,6.3,1977,0.7,0.49,2,1,1,edge,0,0,0,0,0
68,299.00,1.743,3,2.0,3,6.0,1988,1.8,3.24,2,1,1,harris,0,1,0,0,0
69,285.00,1.878,5,2.1,3,6.3,1975,0.5,0.25,2,1,1,crest,0,0,0,1,0
70,255.00,1.900,4,2.0,3,6.0,1980,1.0,1.00,2,3,0,parker,0,0,0,0,1
71,259.00,2.208,4,3.0,3,9.0,1979,0.9,0.81,2,1,1,parker,0,0,0,0,1
72,249.90,2.081,5,2.1,4,8.4,1970,0.0,0.00,1,3,0,harris,0,1,0,0,0
73,215.00,2.044,1,1.1,4,4.4,1936,-3.4,11.56,0,3,0,parker,0,0,0,0,1
74,435.00,2.253,11,2.0,3,6.0,1979,0.9,0.81,2,3,0,edge,0,0,0,0,0
75,274.90,1.861,4,2.0,4,8.0,1995,2.5,6.25,2,1,1,parker,0,0,0,0,1
76,349.50,2.896,4,3.0,5,15.0,1979,0.9,0.81,2,1,1,crest,0,0,0,1,0
